Is a nice powerful computer just what I need and super easy to set up	3	9	2	8	6
Arrived perfectly! It did arrive later than expected and had some minor dirt on it, but overall, it is in great condition.	0	0	0	1	2
Junk the unit failed to turn on right out of the box. Nothing but refurbished junk being passed on as good new merchandise. Amazon sucks	3	7	2	8	0
I like the way it works. Just a few days after I got it, the charger stopped working	0	9	0	0	4
The screen is fair. Not as good as what I expected. Otherwise a good computer for the average user.	3	3	1	8	3
"Description says 2.2 GHz. ""This pc"" shows 1.1 GHz. Runs slow. Freezes."	2	0	0	1	2
My daughter seem to like it a lot.	3	0	0	7	5
Great computer. I got it for work and it is so nice. Good battery life, very light and easy to take places, good quality.	2	7	2	3	3
This lay top works great. I didn’t even have to go through the set up. I opened it and it was ready to use first for what ever I wanted.	1	7	2	3	4
Everything works as expected. Runs fast!	1	7	2	3	4
it's filthy, doesn't work without charger, mouse doesn't work at all	2	1	0	0	4
So far, so great.	2	0	0	1	2
Very nice price and having 16gb of ram was important	3	7	3	8	0
Exceptional laptop. Very light weight, fast and just works great.	2	8	2	3	3
granddaughter in culinary school, needed, was prettier in person than on line, wish could have been yellow her favorite, but it does the job	2	0	0	1	2
Everything works perfect,obviously after the (windows 10 services) tweak.. only noobs will complain. Great product..	3	3	1	8	3
warped new out of box....	3	9	2	8	6
Great computer.Great price!	3	0	0	7	4
Good laptop	3	7	3	8	0
Did not realize it did not have the capability to use cd.	3	7	3	8	4
Awesome laptop!! Start up is super fast. Runs games with know issues!!	4	7	5	8	0
Amazing computer!	5	4	2	8	3
Battery lasts long. Touch screen works great	3	4	2	8	3
Graphics arent good for a gaming laptop. Looks cool tho!	3	6	3	3	0
I like alot. But didn't have cd reader	4	8	3	8	0
HDD ran @ 100% right out of the box and the laptop runs really slow.	3	9	3	9	3
I expect it to be faster, is ok. Picture ok. Not really happy with it. I think next time I keep HP.	3	9	2	8	3
It's ok, it's working well. But the only thing is the soft grinding noise from maybe HDD or the fan	3	9	3	9	3
Great laptop. Enjoyed so far.	3	6	3	3	0
The battery lasted for only 2 hours and it glitched even when i tried to reset the laptop and it wont reset	3	6	2	9	3
Wonderful laptop	2	7	2	3	3
Item has lots of scratches. Very slow. freezes.	0	9	0	0	4
is a nice laptop but seems slow and batt does not last a long time and is not replaceable by you.	3	0	0	8	2
So far it works great and last for days	1	1	0	1	4
The speakers suck, but overall it's a great laptop.	3	9	2	8	3
Excellent value for the price! Works great and I'm very satisfied.	3	1	0	0	2
Laptop is great	3	0	0	7	5
Great computer from my grandkids.	2	0	0	1	2
Excellent laptop .. very light and portable .. no complaints.	2	6	5	4	3
Love it!	4	4	2	9	3
I needed a computer to replace my old one. As a photographer this runs my Photoshop and Adobe Lightroom smoothly and doesn't come with large amounts of bloatware. Perfect.	3	7	2	8	0
Works great	0	9	0	1	4
It wasn't what I was looking for so in ordered my Daughter a bigger Lenovo	0	9	0	2	4
Very cool	3	7	2	8	0
it is ok, the screen is little uncomfortable	3	7	2	8	0
So impressed with the build. Kudos DELL 👍🏽	3	7	2	8	0
Light weight than ultrabook and looks good, definitely good option for office productive works.	2	0	0	1	5
Used for 1 week and the laptop has been powering off randomly multiple times a day.	2	0	0	1	2
Fantastic. No Problems so far. Runs faster than I could have hoped.	3	9	3	8	0
My old tablet has more capabilities.	3	1	0	0	2
This chromebook has great functionality.	3	1	0	0	2
This is a great little computer! I love the smaller size and yet the keyboard is more than big enough.	2	0	0	1	5
great small laptop for reading books and light web surfing	2	0	0	1	5
Great budget gaming laptop.	3	7	3	3	0
This is a refurbished laptop. Works great and is in excellent condition! Purchased for my daughter and is everything she wanted.	2	0	0	1	2
Worked very well playing Witcher 3, Shadow of War and For Honor.	3	7	2	8	0
It'sa good laptop. Fast and stable	3	7	2	8	0
simplicity at its finest	2	0	0	1	2
Great laptop. Have had no issues with it.	3	6	5	8	0
Did not place order	2	0	0	1	2
So far, so good!!	5	4	2	8	3
Very useful laptop for the price.	2	0	0	1	2
Runs slow	3	0	0	8	2
Muy bien	3	7	3	8	3
Haven't had it for long but so far its working great!	3	7	2	8	0
the computer runs terrible on battery, it lasts about 2 hrs and the screen is dull unless plugged in	3	2	1	8	7
I have had it for about a month and a half, and the keyboard already completely stopped working.	3	0	0	8	2
Great Choice....Recomanded	3	7	2	8	0
Slim, light, easy to navigate	2	7	2	3	3
the machine stopped working......I only get a dark screen.....not functioning at allDO NOT BUY THIS PRODUCT !H.Rojas	3	1	2	8	6
very good	4	2	2	8	6
just PERFECT!	2	0	0	1	5
Very good	3	7	2	8	0
Arrived in perfect condition and works great... just wish I used it as much as I thought I would.	0	9	0	2	4
Good alternative for Macbooks. :)	2	0	0	1	5
